ChemicalName,Formula,Synonyms,CatalogCode,CompanyName,Grade,Disposal,CAS,Class,CompatibleFamily,SignalWord,HazardStatement,GHSCodes,SDSURL,School,StoreRoom,Shelf,UOM,LastUsed,MinReorderAmount,Amount,Notes,KitCatalog
"Citric acid, anhydrous",C6H8O7,"2-Hydroxy-1,2,3-propanetricarboxylic acid",,Kodak,,,77-92-9,Inorganic acid,,Warning,"May form combustible dust in air
Combustible dust
Causes serious eye irritation
May cause respiratory irritation",IR,https://www.fishersci.com/store/msds?partNumber=AA36664A3&productDescription=citric-acid-anhydrous-acs-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-3,g,,,300,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents. Strong bases. .",
Citronellol,C10H20O,"ß-
2,3-Dihydrogeraniol
3,7-Dimethyl-6-octen-1-ol",,Acros,,,106-22-9,Organic compound,,Warning,"Combustible liquid
Causes skin irritation
Causes serious eye irritation
May cause an allergic skin reaction",IR,https://www.fishersci.com/store/msds?partNumber=AC110460050&productDescription=citronellol-ml&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-3,mL,,,100,"Keep containers tightly closed in a dry, cool and well-ventilated place. Keep away from heat, sparks and flame. Incompatible Materials. Strong oxidizing agents. Bases. Acids.",
DL-Isoborneol,C10H18O,"Exo-1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol
Isobornyl alcohol
Isocamphol",,Aldrich,,,124-76-5,Organic compound,,Warning,"Flammable solid
Causes skin irritation
Causes serious eye irritation","FL, IR",https://www.fishersci.com/store/msds?partNumber=AC122495000&productDescription=dlisoborneol-tech--gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-3,g,,,25,"Keep away from heat, sparks and flame. Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents.",
trans-Cinnamic acid,C9H8O2,"3-Phenyl-2-propenoic acid
trans-3-Phenylacrylic acid",,Acros,,,140-10-3,Inorganic acid,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=AC158575000&productDescription=transcinnamic-acid--gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-3,g,,,50,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Incompatible Materials. Strong oxidizing agents.",
trans-Cinnamic acid,C9H8O2,"3-Phenyl-2-propenoic acid
trans-3-Phenylacrylic acid",,Acros,,,140-10-3,Inorganic acid,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=AC158575000&productDescription=transcinnamic-acid--gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-3,g,,,50,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Incompatible Materials. Strong oxidizing agents.",
"1,4-Dichlorobenzene",C6H4Cl2,p-Dichlorobenzene,,Acros,,,106-46-7,Organic compound,,Danger,"Causes serious eye irritation
May cause cancer","IR, CA",https://www.fishersci.com/store/msds?partNumber=AC113190010&productDescription=-dichlorobenzene-kg&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,g,,,300,"Keep away from heat, sparks and flame. Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Metals.",
"1,4-Dimethoxybenzene",C8H10O2,Hydroquinone dimethyl ether,,Acros,,,150-78-7,Organic compound,,Warning,"Causes skin irritation
Causes serious eye irritation
May cause respiratory irritation",IR,https://www.fishersci.com/store/msds?partNumber=AC115411000&productDescription=-dimethoxybenzene--gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,g,,,400,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Incompatible Materials. Strong oxidizing agents.",
"2,6-Dichloroindophenol sodium salt hydrate",C12H6Cl2NNaO2.xH2O,"2,6-Dichlorophenolindophenol sodium salt hydrate
Tillman`s reagent hydrate
2,6-Dichloro-N-(4-hydroxyphenyl)-1,4-benzoquinoneime sodium salt
DCIP
DPIP",,Mallinckrodt,,,1266615-56-8,Metal-containing compound,,None,"May form combustible dust in air
Combustible dust", ,https://www.fishersci.com/store/msds?partNumber=AAA1010722&productDescription=dichlroindophenol-sod-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,g,,,1,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Keep container tightly closed in a dry and well-ventilated place. Air sensitive. Store under an inert atmosphere. Incompatible Materials. Strong oxidizing agents.",
"2,6-Dichloroindophenol sodium salt hydrate",C12H6Cl2NNaO2.xH2O,"2,6-Dichlorophenolindophenol sodium salt hydrate
Tillman`s reagent hydrate
2,6-Dichloro-N-(4-hydroxyphenyl)-1,4-benzoquinoneime sodium salt
DCIP
DPIP",,Mallinckrodt,,,1266615-56-8,Metal-containing compound,,None,"May form combustible dust in air
Combustible dust", ,https://www.fishersci.com/store/msds?partNumber=AAA1010722&productDescription=dichlroindophenol-sod-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,g,,,1,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Keep container tightly closed in a dry and well-ventilated place. Air sensitive. Store under an inert atmosphere. Incompatible Materials. Strong oxidizing agents.",
2-Furaldehyde,C5H4O2,"Furfural
2-Furancarboxaldehyde",,Acros,,,98-01-1,Organic compound,,Danger,"Flammable liquid and vapor
Toxic if swallowed
Harmful in contact with skin
Fatal if inhaled
Causes skin irritation
Causes serious eye irritation
May cause respiratory irritation
May cause damage to organs","FL, AC, IR, CA",https://www.fishersci.com/store/msds?partNumber=AAA161670B&productDescription=furaldehyde-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,mL,,,250,"Keep away from heat, sparks and flame. Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents. Strong bases. Strong acids.",
2-Furaldehyde,C5H4O2,"Furfural
2-Furancarboxaldehyde",,Acros,,,98-01-1,Organic compound,,Danger,"Flammable liquid and vapor
Toxic if swallowed
Harmful in contact with skin
Fatal if inhaled
Causes skin irritation
Causes serious eye irritation
May cause respiratory irritation
May cause damage to organs","FL, AC, IR, CA",https://www.fishersci.com/store/msds?partNumber=AAA161670B&productDescription=furaldehyde-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,mL,,,250,"Keep away from heat, sparks and flame. Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents. Strong bases. Strong acids.",
2-Heptanone,C7H14O,Methyl amyl ketone,,Acros,,,110-43-0,Organic compound,,Warning,"Flammable liquid and vapor
May cause drowsiness or dizziness
Harmful if swallowed","FL, IR",https://www.fishersci.com/store/msds?partNumber=AAA10200AP&productDescription=heptanone-ml&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,mL,,,115,"Keep containers tightly closed in a dry, cool and well-ventilated place. Keep away from heat, sparks and flame. Flammables area. Incompatible Materials. Strong oxidizing agents.",
3-Heptanone,C7H14O,"Butyl ethyl ketone
Heptan-3-one",,Acros,,,106-35-4,Organic compound,,Warning,"Flammable liquid and vapor
Harmful if inhaled
Causes serious eye irritation","FL, IR, OX",https://www.fishersci.com/store/msds?partNumber=AAA16977AU&productDescription=heptanone-ml&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,mL,,,150,"Keep away from heat, sparks and flame. Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Flammables area. Incompatible Materials. Strong oxidizing agents. Strong bases. Strong reducing agents.",
D-Fructose,C6H12O6,No information available,,Acros,,,57-48-7,Organic compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=AAA177180B&productDescription=dfructose-assay-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,g,,,650,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents.",
Dextrose Anhydrous,C6H12O6,"D-Glucose
Glucose
Blood sugar
Corn sugar
Grape sugar (USP/EP/BP/JP/Certified ACS)",,Acros,,,50-99-7,Organic compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=D1650&productDescription=dextrose-anhyd-acs-cert-kg&vendorId=VN00033897&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,g,,,400,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents.",
D-Galactose,C6H12O6,D-Galactopyranose,,Fisher,,,59-23-4,Organic compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=BP656500&productDescription=dgalactose-g&vendorId=VN00000001&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,g,,,500,"Keep containers tightly closed in a dry, cool and well-ventilated place.",
D-(+)-Maltose monohydrate,C12H22O11.H2O,4-(alpha-D-glucosido)-D-glucose monohydrate.,,Fisher,,,6363-53-7,Organic compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=AAA1626636&productDescription=d-maltose-monohyd-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,g,,,450,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Incompatible Materials. Strong oxidizing agents.",
Dextrose Anhydrous,C6H12O6,"D-Glucose
Glucose
Blood sugar
Corn sugar
Grape sugar (USP/EP/BP/JP/Certified ACS)",,Mallinckrodt,,,50-99-7,Organic compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=D1650&productDescription=dextrose-anhyd-acs-cert-kg&vendorId=VN00033897&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,g,,,500,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents.",
10-Bromo-1-decanol,C10H21BrO,No information available,,J.T. Baker,,,53463-68-6,Organic compound,,Warning,"Causes skin irritation
Causes serious eye irritation
Harmful if inhaled
May cause respiratory irritation",IR,https://www.fishersci.com/store/msds?partNumber=AAB2148306&productDescription=bromodecanol-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,lb,,,1,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Incompatible Materials. Strong oxidizing agents.",
10-Bromo-1-decanol,C10H21BrO,No information available,,J.T. Baker,,,53463-68-6,Organic compound,,Warning,"Causes skin irritation
Causes serious eye irritation
Harmful if inhaled
May cause respiratory irritation",IR,https://www.fishersci.com/store/msds?partNumber=AAB2148306&productDescription=bromodecanol-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,lb,,,1,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Incompatible Materials. Strong oxidizing agents.",
Diethyl malonate,C7H12O4,Ethyl malonate,,Acros ,,,105-53-3,Organic compound,,Warning,Combustible liquid, ,https://www.fishersci.com/store/msds?partNumber=AC114450025&productDescription=diethyl-malonate-kg&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,mL,,,100,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Keep away from heat, sparks and flame. Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Acids. Bases. Reducing Agent.",
Diethyl phthalate,C12H14O4,Ethyl phthalate,,Acros ,,,84-66-2,Organic compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=AAA1752930&productDescription=diethyl-phthalate-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,L,,,1,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Incompatible Materials. Acids. Strong bases. Strong reducing agents. Oxidizing agent.",
Ethylenediaminetetraacetic acid,C10H16N2O8,"3,6-Diazaoctanedioic acid, 3,6-bis(carboxymethy
Acetic acid, (Ethylenedinitrilo)tetraacetic acid
EDTA
Edetic acid
Diaminoethanetetraacetic acid",,Kodak,,,60-00-4,Inorganic acid,,Warning,"Causes serious eye irritation
Harmful if inhaled
May cause damage to organs","IR, CA",https://www.fishersci.com/store/msds?partNumber=AAA107130B&productDescription=ethlenediamintetacetic-ac-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,kg,,,1,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Incompatible Materials. Strong oxidizing agents. Strong bases. Metals. copper.",
Ferrocene,C10H10Fe,Dicyclopentadienyliron,,Acros,,,102-54-5,Metal-containing compound,,Danger,"Flammable solid
May damage fertility or the unborn child
May cause damage to organs
Harmful if swallowed","FL, CA, IR",https://www.fishersci.com/store/msds?partNumber=AA8720218&productDescription=ferrocene-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,g,,,50,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Keep away Health 2 Flammability 2 Instability 0 Physical hazards N/A    from heat, sparks and flame. Flammables area. Incompatible Materials. Strong oxidizing agents.",
Dextrose Anhydrous,C6H12O6,"D-Glucose
Glucose
Blood sugar
Corn sugar
Grape sugar (USP/EP/BP/JP/Certified ACS)",,Carolina,,,50-99-7,Organic compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=D1650&productDescription=dextrose-anhyd-acs-cert-kg&vendorId=VN00033897&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,mL,,,80,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents.",
Glycerol (Certified ACS),C3H8O3,"Glycerin, Glycerine, 1,2,3-Propanetriol, Glycyl alcohol, Trihydroxypropane, Glyceritol, Propanetriol, 1,2,3-Trihydroxypropane",,VWR,,,56-81-5,Organic compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=G33200&productDescription=glycerol-certified-acs-l&vendorId=VN00000001&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,quart,,,1,"Keep containers tightly closed in a dry, cool and well-ventilated place. To maintain product quality, do not store in heat or direct sunlight. Air sensitive. Do not freeze. Incompatible Materials. Strong oxidizing agents.",
Glycerol (Certified ACS),C3H8O3,"Glycerin, Glycerine, 1,2,3-Propanetriol, Glycyl alcohol, Trihydroxypropane, Glyceritol, Propanetriol, 1,2,3-Trihydroxypropane",,VWR,,,56-81-5,Organic compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=G33200&productDescription=glycerol-certified-acs-l&vendorId=VN00000001&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,quart,,,1,"Keep containers tightly closed in a dry, cool and well-ventilated place. To maintain product quality, do not store in heat or direct sunlight. Air sensitive. Do not freeze. Incompatible Materials. Strong oxidizing agents.",
Guaiacol,C7H8O2,2-Methoxyphenol,,Sigma,,,90-05-1,Organic compound,,Warning,"Combustible liquid
Harmful if swallowed
Causes skin irritation
Causes serious eye irritation",IR,https://www.fishersci.com/store/msds?partNumber=AC120190050&productDescription=guaiacol-gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,g,,,100,"Keep containers tightly closed in a dry, cool and well-ventilated place. Protect from light. Keep under nitrogen. Keep away from heat, sparks and flame. Incompatible Materials. Strong oxidizing agents. Strong acids. Strong bases. Acid anhydrides. Acid chlorides.",
Heptanal,C7H14O,Enanthaldehyde,,Acros,,,111-71-7,Organic compound,,Warning,"Flammable liquid and vapor
Causes skin irritation","FL, IR",https://www.fishersci.com/store/msds?partNumber=AAB23830AK&productDescription=heptanal-ml&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,mL,,,100,"Keep in a dry place. Keep container tightly closed. Store at room temperature. Flammables area. Keep away from heat/sparks/open flames/hot surfaces. - No smoking. Keep under nitrogen. Keep container tightly closed in a dry and well-ventilated place. Keep away from heat, sparks and flame. Incompatible Materials. Strong bases. Strong reducing agents. Organic materials. Health 2 Flammability 2 Instability 0 Physical hazards N/A",
Hydroquinone,C6H6O2,"1,4-Dihydroxybenzene
1,4-Benzenediol",,Fluka,,,123-31-9,Organic compound,,Danger,"Combustible dust
May form combustible dust in air
Harmful if swallowed
May cause an allergic skin reaction
Causes serious eye damage
Suspected of causing genetic defects
Suspected of causing cancer","IR, CO, CA",https://www.fishersci.com/store/msds?partNumber=AC219930050&productDescription=hydroquinone-pa-gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,g,,,400,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents. Strong bases. Alkaline.",
4-Isobutyl-alpha-methylphenylacetic acid,C13H18O2,"alpha-Methyl-4-(2-methylpropyl)benzeneacetic acid
2-(4-Isobutylphenyl)-propionic acid
p-Isobutylhydratropic acid",,Acros,,,15687-27-1,Inorganic acid,,Warning,"Harmful if swallowed
Causes serious eye irritation
May cause respiratory irritation",IR,https://www.fishersci.com/store/msds?partNumber=AAB2098906&productDescription=isobutlalfamethlphenlac-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,g,,,10,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents.",
(S)-(+)-Ibuprofen,C13H18O2,(2S)-2-[4-(2-Methylpropyl)phenyl]propionic acid,,Acros,,,51146-56-6,Organic compound,,Warning,"Harmful if swallowed
Causes serious eye irritation
May cause respiratory irritation",IR,https://www.fishersci.com/store/msds?partNumber=AC333200050&productDescription=s-ibuprofen-gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,g,,,1,Keep container tightly closed in a dry and well-ventilated place. Keep refrigerated. Incompatible Materials. Strong oxidizing agents.,
Iodoethane,C2H5I,Ethyl iodide,,Sigma-Aldrich,,,75-03-6,Organic compound,,Danger,"Combustible liquid
Harmful if swallowed
Causes skin irritation
Causes serious eye irritation
May cause an allergic skin reaction
May cause allergy or asthma symptoms or breathing difficulties if inhaled
May cause respiratory irritation
Suspected of causing genetic defects","IR, CA",https://www.fishersci.com/store/msds?partNumber=AAA144440E&productDescription=iodoethne--stab-w-cpp-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,g,,,50,"Keep containers tightly closed in a dry, cool and well-ventilated place. Keep away from heat, sparks and flame. Protect from direct sunlight. Incompatible Materials. Strong oxidizing agents.",
"DL-Lactic acid, 85+%",Molecular Formula not found,DL-2-Hydroxypropanoic acid,,Kodak,,,,Inorganic acid,,Danger,Causes severe skin burns and eye damage,CO,https://www.fishersci.com/store/msds?partNumber=AC412965000&productDescription=lactic-acid-reagent-acs-gr&vendorId=VN00033901&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,g,,,400,"Keep containers tightly closed in a dry, cool and well-ventilated place. Corrosives area. Health 3 Flammability 1 Instability 1 Physical hazards N/A    Incompatible Materials. Acids. Bases. Strong oxidizing agents. Reducing Agent.",
"DL-Lactic acid, 85+%",Molecular Formula not found,DL-2-Hydroxypropanoic acid,,Kodak,,,,Inorganic acid,,Danger,Causes severe skin burns and eye damage,CO,https://www.fishersci.com/store/msds?partNumber=AC412965000&productDescription=lactic-acid-reagent-acs-gr&vendorId=VN00033901&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,g,,,400,"Keep containers tightly closed in a dry, cool and well-ventilated place. Corrosives area. Health 3 Flammability 1 Instability 1 Physical hazards N/A    Incompatible Materials. Acids. Bases. Strong oxidizing agents. Reducing Agent.",
Maleic acid,C4H4O4,cis-Butenedioic acid,,Kodak,,,110-16-7,Inorganic acid,,Danger,"Causes severe skin burns and eye damage
May cause respiratory irritation
May cause an allergic skin reaction
Harmful if swallowed","CO, IR",https://www.fishersci.com/store/msds?partNumber=AAA145960I&productDescription=maleic-acid-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,g,,,20,"Corrosives area. Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Bases. Strong oxidizing agents. Reducing Agent.",
Maleic anhydride,C4H2O3,"2,5-Furandione
MA",,Acros,,,108-31-6,Organic compound,,Danger,"May form combustible dust in air
Harmful if swallowed
Causes severe skin burns and eye damage
May cause an allergic skin reaction
May cause allergy or asthma symptoms or breathing difficulties if inhaled
Causes damage to organs","IR, CO, CA",https://www.fishersci.com/store/msds?partNumber=AAA121780B&productDescription=maleic-anhydride-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,g,,,150,"Keep containers tightly closed in a dry, cool and well-ventilated place. Corrosives area. Incompatible Materials. Strong oxidizing agents. Water. Alkali metals. Strong reducing agents. Alcohols.",
Maleic anhydride,C4H2O3,"2,5-Furandione
MA",,Acros,,,108-31-6,Organic compound,,Danger,"May form combustible dust in air
Harmful if swallowed
Causes severe skin burns and eye damage
May cause an allergic skin reaction
May cause allergy or asthma symptoms or breathing difficulties if inhaled
Causes damage to organs","IR, CO, CA",https://www.fishersci.com/store/msds?partNumber=AAA121780B&productDescription=maleic-anhydride-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,g,,,150,"Keep containers tightly closed in a dry, cool and well-ventilated place. Corrosives area. Incompatible Materials. Strong oxidizing agents. Water. Alkali metals. Strong reducing agents. Alcohols.",
Maleic anhydride,C4H2O3,"2,5-Furandione
MA",,Acros,,,108-31-6,Organic compound,,Danger,"May form combustible dust in air
Harmful if swallowed
Causes severe skin burns and eye damage
May cause an allergic skin reaction
May cause allergy or asthma symptoms or breathing difficulties if inhaled
Causes damage to organs","IR, CO, CA",https://www.fishersci.com/store/msds?partNumber=AAA121780B&productDescription=maleic-anhydride-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,g,,,150,"Keep containers tightly closed in a dry, cool and well-ventilated place. Corrosives area. Incompatible Materials. Strong oxidizing agents. Water. Alkali metals. Strong reducing agents. Alcohols.",
Malonic acid,C3H4O4,"Dicarboxymethane
Carboxyacetic Acid",,Fluka,,,141-82-2,Inorganic acid,,Danger,Causes serious eye damage,CO,https://www.fishersci.com/store/msds?partNumber=AC125262500&productDescription=malonic-acid-gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,g,,,30,Store under an inert atmosphere. Keep container tightly closed in a dry and well-ventilated place. Air sensitive. Incompatible Materials. Strong oxidizing agents. Reducing Agent.,
Methyl benzoate,C8H8O2,"Benzoic acid, methyl ester
Oil of niobe.",,Fisher ,,,93-58-3,Organic compound,,Warning,"Combustible liquid
Harmful if swallowed",IR,https://www.fishersci.com/store/msds?partNumber=AC126345000&productDescription=methyl-benzoate-ml&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-146 ,B-4,mL,,,100,"Keep containers tightly closed in a dry, cool and well-ventilated place. Keep away from heat, sparks and flame. Incompatible Materials. Strong oxidizing agents. Strong bases. Strong reducing agents.",
Methyl benzoate,C8H8O2,"Benzoic acid, methyl ester
Oil of niobe.",,Fisher ,,,93-58-3,Organic compound,,Warning,"Combustible liquid
Harmful if swallowed",IR,https://www.fishersci.com/store/msds?partNumber=AC126345000&productDescription=methyl-benzoate-ml&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-146 ,B-4,mL,,,100,"Keep containers tightly closed in a dry, cool and well-ventilated place. Keep away from heat, sparks and flame. Incompatible Materials. Strong oxidizing agents. Strong bases. Strong reducing agents.",
Methyl benzoate,C8H8O2,"Benzoic acid, methyl ester
Oil of niobe.",,Fisher ,,,93-58-3,Organic compound,,Warning,"Combustible liquid
Harmful if swallowed",IR,https://www.fishersci.com/store/msds?partNumber=AC126345000&productDescription=methyl-benzoate-ml&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-146 ,B-4,mL,,,100,"Keep containers tightly closed in a dry, cool and well-ventilated place. Keep away from heat, sparks and flame. Incompatible Materials. Strong oxidizing agents. Strong bases. Strong reducing agents.",
4-Methylaminophenol sulfate,C14H18N2O2.H2SO4,"Bis(4-hydroxy-N-methylanilinium) sulfate
Metol",,Kodak/Fisher,,,55-55-0,Organic compound,,Warning,"Combustible dust
May form combustible dust in air
Harmful if swallowed
May cause an allergic skin reaction
May cause damage to organs","IR, CA",https://www.fishersci.com/store/msds?partNumber=AC434441000&productDescription=methylaminophenol-sulf-gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,lb,,,1,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents. Acids. Acid anhydrides. Acid chlorides.",
"N,N-Dimethylaniline",C8H11N,DMA,,Acros,,,121-69-7,Organic compound,,Danger,"Combustible liquid
Suspected of causing cancer
Toxic if swallowed","CA, AC",https://www.fishersci.com/store/msds?partNumber=AAA11916AP&productDescription=n-ndimethylaniline-ml&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,L,,,1,"Keep away from heat, sparks and flame. Protect from direct sunlight. Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Acids. Strong oxidizing agents. Halogens. Acid anhydrides. Acid chlorides. Chloroformates.",
N-Methylaniline,C7H9N,Monomethylaniline,,Acros,,,100-61-8,Organic compound,,Danger,"Combustible liquid
May cause damage to organs
Toxic if swallowed","CA, AC",https://www.fishersci.com/store/msds?partNumber=AC126275000&productDescription=nmethylaniline-gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,g,,,500,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Keep away from heat, sparks and flame. Protect from direct sunlight. Flammables area. Incompatible Materials. Acids. Acid anhydrides. Acid chlorides. Carbon dioxide (CO2). Oxidizing agent.",
"1,4-Dimethoxybenzene",C8H10O2,Hydroquinone dimethyl ether,,Kodak,,,150-78-7,Organic compound,,Warning,"Causes skin irritation
Causes serious eye irritation
May cause respiratory irritation",IR,https://www.fishersci.com/store/msds?partNumber=AC115410010&productDescription=-dimethoxybenzene--gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,g,,,100,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Incompatible Materials. Strong oxidizing agents.",
Paraformaldehyde,Molecular Formula not found,"Formaldehyde polymer
Polyoxymethylene
Polyformaldehyde",,Mallinckrodt,,,30525-89-4,Organic compound,,Danger,"Combustible dust
Flammable solid
May form combustible dust in air
Harmful if swallowed
Causes skin irritation
May cause an allergic skin reaction
Causes serious eye damage
May cause respiratory irritation
Suspected of causing cancer","FL, IR, CO, CA",https://www.fishersci.com/store/msds?partNumber=AAA1131336&productDescription=paraformaldehyde-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-4,g,,,300,"Keep containers tightly closed in a dry, cool and well-ventilated place. Keep away from heat, sparks and flame. Incompatible Materials. Strong oxidizing agents.",
"1,10-Phenanthroline monohydrate",C12H8N2.H2O,o-Phenanthroline monohydrate,,Kodak,,,5144-89-8,Organic compound,,Danger,Toxic if swallowed,AC,https://www.fishersci.com/store/msds?partNumber=AA3091009&productDescription=phenanthroline-acs-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B-5,g,,,5,"Keep containers tightly closed in a dry, cool and well-ventilated place. Keep under nitrogen. Incompatible Materials. Strong oxidizing agents. Strong acids.",
