ChemicalName,Formula,Synonyms,CatalogCode,CompanyName,Grade,Disposal,CAS,Class,CompatibleFamily,SignalWord,HazardStatement,GHSCodes,SDSURL,School,StoreRoom,Shelf,UOM,LastUsed,MinReorderAmount,Amount,Notes,KitCatalog
Copper(II) acetate monohydrate,C4H6CuO4.H2O,"Acetic acid, copper(II) salt monohydrate",,Alpha Aesar,,,6046-93-1,Metal-containing compound,,Danger,"Harmful if swallowed
Causes severe skin burns and eye damage
May cause respiratory irritation
May cause damage to organs","IR, CO, CA",https://www.fishersci.com/store/msds?partNumber=AA14177A3&productDescription=cppr-ii-acet-monohyd-acs-kg&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-3,g,,,100,"Keep containers tightly closed in a dry, cool and well-ventilated place. Corrosives area. Incompatible Materials. Strong oxidizing agents.",
Copper(II) oxide,CuO,Cupric oxide,,Acros,,,1317-38-0,Metal-containing compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=AC197445000&productDescription=copper-ii-oxide-copper-ii&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-3,g,,,500,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents.",
Copper(II) oxide,CuO,Cupric oxide,,Acros,,,1317-38-0,Metal-containing compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=AC197445000&productDescription=copper-ii-oxide-copper-ii&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-3,g,,,500,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents.",
Copper(II) bromide,Br2Cu,Cupric bromide,,Mallinckrodt,,,7789-45-9,Metal-containing compound,,Danger,"Harmful if swallowed
Causes severe skin burns and eye damage
May cause respiratory irritation","IR, CO",https://www.fishersci.com/store/msds?partNumber=AC453950010&productDescription=copper-ii-bromide-gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-3,lb,,,0.25,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Corrosives area. Protect from direct sunlight. Store under an inert atmosphere. Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents. Metals.",
Copper(II) bromide,Br2Cu,Cupric bromide,,Mallinckrodt,,,7789-45-9,Metal-containing compound,,Danger,"Harmful if swallowed
Causes severe skin burns and eye damage
May cause respiratory irritation","IR, CO",https://www.fishersci.com/store/msds?partNumber=AC453950010&productDescription=copper-ii-bromide-gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-3,lb,,,0.25,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Corrosives area. Protect from direct sunlight. Store under an inert atmosphere. Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents. Metals.",
Copper(II) bromide,Br2Cu,Cupric bromide,,Mallinckrodt,,,7789-45-9,Metal-containing compound,,Danger,"Harmful if swallowed
Causes severe skin burns and eye damage
May cause respiratory irritation","IR, CO",https://www.fishersci.com/store/msds?partNumber=AC453950010&productDescription=copper-ii-bromide-gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-3,lb,,,0.25,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Corrosives area. Protect from direct sunlight. Store under an inert atmosphere. Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents. Metals.",
Copper(II) bromide,Br2Cu,Cupric bromide,,Mallinckrodt,,,7789-45-9,Metal-containing compound,,Danger,"Harmful if swallowed
Causes severe skin burns and eye damage
May cause respiratory irritation","IR, CO",https://www.fishersci.com/store/msds?partNumber=AC453950010&productDescription=copper-ii-bromide-gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-3,lb,,,0.25,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Corrosives area. Protect from direct sunlight. Store under an inert atmosphere. Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents. Metals.",
Iron(III) chloride hexahydrate,Molecular Formula not found,Ferric chloride hexahydrate,,Unknown,,,10025-77-1,Metal-containing compound,,Danger,"Harmful if swallowed
Causes skin irritation
Causes serious eye damage","IR, CO",https://www.fishersci.com/store/msds?partNumber=AA12497A7&productDescription=iron-iii-chloride-acs-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-3,lb,,,0.5,"Keep containers tightly closed in a dry, cool and well-ventilated place. Keep in properly labeled containers. Keep away from water or moist air. Store under an inert atmosphere. Air sensitive. Incompatible Materials. Strong oxidizing agents. Metals. Strong bases.",
Iron(III) chloride hexahydrate,Molecular Formula not found,Ferric chloride hexahydrate,,Unknown,,,10025-77-1,Metal-containing compound,,Danger,"Harmful if swallowed
Causes skin irritation
Causes serious eye damage","IR, CO",https://www.fishersci.com/store/msds?partNumber=AA12497A7&productDescription=iron-iii-chloride-acs-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-3,lb,,,0.5,"Keep containers tightly closed in a dry, cool and well-ventilated place. Keep in properly labeled containers. Keep away from water or moist air. Store under an inert atmosphere. Air sensitive. Incompatible Materials. Strong oxidizing agents. Metals. Strong bases.",
"Iron(III) chloride, anhydrous",Cl3Fe,No information available,,Acros,,,7705-08-0,Metal-containing compound,,Danger,"Harmful if swallowed
Causes skin irritation
May cause an allergic skin reaction
Causes serious eye damage","IR, CO",https://www.fishersci.com/store/msds?partNumber=AA12357C4&productDescription=iron-iii-clride-anhy-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-3,kg,,,1,"Keep containers tightly closed in a dry, cool and well-ventilated place.",
Iron (III) Sulfate,C5H6Cl2N2O2,No information avaliable,,Mallinckrodt,,,10028-22-5,Metal-containing compound,,Danger,"Harmful if swallowed,
Causes skin irritation,
Causes serious eye damage","IR, CO",https://www.fishersci.com/store/msds?partNumber=AA10717&productDescription=keyword&vendorId=VN00024248&countryCode=US&language=en,CSCC TUNXIS,6-144,A-3,lb,,,1,0,
Iron (III) Sulfate,C5H6Cl2N2O2,No information avaliable,,Mallinckrodt,,,10028-22-5,Metal-containing compound,,Danger,"Harmful if swallowed,
Causes skin irritation,
Causes serious eye damage","IR, CO",https://www.fishersci.com/store/msds?partNumber=AA10717&productDescription=keyword&vendorId=VN00024248&countryCode=US&language=en,CSCC TUNXIS,6-144,A-3,lb,,,1,0,
Ferrous sulfate heptahydrate,FeSO4.7H2O,Iron (II) sulfate heptahydrate (Crystalline/Certified ACS/USP/FCC),,Fisher,,,7782-63-0,Metal-containing compound,,Warning,"Harmful if swallowed
Causes skin irritation
Causes serious eye irritation",IR,https://www.fishersci.com/store/msds?partNumber=I146500&productDescription=ferrous-sulfate-cert-acs-g&vendorId=VN00033897&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-3,g,,,500,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents. Strong bases.",
Ferrous sulfate heptahydrate,FeSO4.7H2O,Iron (II) sulfate heptahydrate (Crystalline/Certified ACS/USP/FCC),,Fisher,,,7782-63-0,Metal-containing compound,,Warning,"Harmful if swallowed
Causes skin irritation
Causes serious eye irritation",IR,https://www.fishersci.com/store/msds?partNumber=I146500&productDescription=ferrous-sulfate-cert-acs-g&vendorId=VN00033897&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-3,g,,,500,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents. Strong bases.",
Iron(II) sulfide,FeS,Ferrous sulfide,,JT Baker,,,1317-37-9,Metal-containing compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=AA1402418&productDescription=iron-ii-sulfide-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-3,lb,,,1,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Incompatible Materials. Strong oxidizing agents. Strong acids.",
Iron(II) sulfide,FeS,Ferrous sulfide,,JT Baker,,,1317-37-9,Metal-containing compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=AA1402418&productDescription=iron-ii-sulfide-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-3,lb,,,1,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Incompatible Materials. Strong oxidizing agents. Strong acids.",
Iron(II) sulfide,FeS,Ferrous sulfide,,JT Baker,,,1317-37-9,Metal-containing compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=AA1402418&productDescription=iron-ii-sulfide-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-3,lb,,,1,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Incompatible Materials. Strong oxidizing agents. Strong acids.",
